Freq.	V(vpwrout)	V(vpztin)	I(Pwrout)	I(Pztin)
1.31825673855640e+005	(-2.47126678869810e+001dB,4.69247587063574e+000°)	(7.26853944429308e+001dB,8.30041468198470e+001°)	(-1.24712667251566e+002dB,4.69247415942882e+000°)	(7.12213508985703e+000dB,9.55831683775501e+001°)
1.34896288259165e+005	(-2.46872917002638e+001dB,5.08353988153047e+000°)	(7.28914194052351e+001dB,8.31635835993957e+001°)	(-1.24687293922246e+002dB,5.08354202301073e+000°)	(7.34870621380223e+000dB,9.59921994195101e+001°)
1.38038426460288e+005	(-2.46603259893271e+001dB,5.47390139861094e+000°)	(7.30982834185276e+001dB,8.33198249964270e+001°)	(-1.24660325157311e+002dB,5.47390056761390e+000°)	(7.57690724212745e+000dB,9.64007750509111e+001°)
1.41253754462275e+005	(-2.46317341052832e+001dB,5.86349490487229e+000°)	(7.33060064704779e+001dB,8.34729235202062e+001°)	(-1.24631733602126e+002dB,5.86349441261686e+000°)	(7.80677550276012e+000dB,9.68088284166668e+001°)
1.44543977074592e+005	(-2.46014781700843e+001dB,6.25224590103987e+000°)	(7.35146106773135e+001dB,8.36229315349909e+001°)	(-1.24601479817245e+002dB,6.25224705359878e+000°)	(8.03834951594582e+000dB,9.72162836074792e+001°)
1.47910838816820e+005	(-2.45695191124555e+001dB,6.64007098088767e+000°)	(7.37241203809142e+001dB,8.37699011729503e+001°)	(-1.24569519197707e+002dB,6.64006967437181e+000°)	(8.27166895610396e+000dB,9.76230557637747e+001°)
1.51356124843620e+005	(-2.45358166978409e+001dB,7.02687799813754e+000°)	(7.39345622547844e+001dB,8.39138842537381e+001°)	(-1.24535816972141e+002dB,7.02687831541543e+000°)	(8.50677462000331e+000dB,9.80290512730069e+001°)
1.54881661891247e+005	(-2.45003295502313e+001dB,7.41256633036982e+000°)	(7.41459654198060e+001dB,8.40549322105946e+001°)	(-1.24500330228681e+002dB,7.41256808625106e+000°)	(8.74370840350066e+000dB,9.84341680670427e+001°)
1.58489319246111e+005	(-2.44630151635214e+001dB,7.79702724448666e+000°)	(7.43583615707367e+001dB,8.41930960228570e+001°)	(-1.24463011353933e+002dB,7.79702407920262e+000°)	(8.98251328924256e+000dB,9.88382960237191e+001°)
1.62181009735892e+005	(-2.44238298997355e+001dB,8.18014436757844e+000°)	(7.45717851145830e+001dB,8.43284261548026e+001°)	(-1.24423830977555e+002dB,8.18014605760866e+000°)	(9.22323334805914e+000dB,9.92413174758203e+001°)
1.65958690743755e+005	(-2.43827289712554e+001dB,8.56179426580091e+000°)	(7.47862733220516e+001dB,8.44609725007204e+001°)	(-1.24382726013376e+002dB,8.56179257894811e+000°)	(9.46591375696266e+000dB,9.96431078297187e+001°)
1.69824365246174e+005	(-2.43396664038674e+001dB,8.94184713264315e+000°)	(7.50018664934843e+001dB,8.45907843361450e+001°)	(-1.24339668186240e+002dB,8.94184995196872e+000°)	(9.71060083701543e+000dB,1.00043536295226e+002°)
1.73780082874937e+005	(-2.42945949772362e+001dB,9.32016758659944e+000°)	(7.52186081407994e+001dB,8.47179102751677e+001°)	(-1.24294594389977e+002dB,9.32016721313065e+000°)	(9.95734211449309e+000dB,1.00442466725721e+002°)
1.77827941003891e+005	(-2.42474661391218e+001dB,9.69661557665562e+000°)	(7.54365451871910e+001dB,8.48423982337592e+001°)	(-1.24247468197523e+002dB,9.69661883855232e+000°)	(1.02061864090744e+001dB,1.00839758566452e+002°)
1.81970085860998e+005	(-2.41982298894179e+001dB,1.00710473923741e+001°)	(7.56557281865439e+001dB,8.49642953990072e+001°)	(-1.24198228819588e+002dB,1.00710466522824e+001°)	(1.04571839530087e+001dB,1.01235267907344e+002°)
1.86208713666286e+005	(-2.41468346298429e+001dB,1.04433167735371e+001°)	(7.58762115647692e+001dB,8.50836482041858e+001°)	(-1.24146837294353e+002dB,1.04433184580660e+001°)	(1.07103865454699e+001dB,1.01628848634924e+002°)
1.90546071796324e+005	(-2.40932269748628e+001dB,1.08132761125827e+001°)	(7.60980538855623e+001dB,8.52005023095320e+001°)	(-1.24093226088895e+002dB,1.08132717140981e+001°)	(1.09658477465081e+001dB,1.02020353675286e+002°)
1.94984459975804e+005	(-2.40373515191727e+001dB,1.11807777411311e+001°)	(7.63213181434197e+001dB,8.53149025886024e+001°)	(-1.24037352705584e+002dB,1.11807780599376e+001°)	(1.12236231152826e+001dB,1.02409636319235e+002°)
1.99526231496887e+005	(-2.39791505568112e+001dB,1.15456752902628e+001°)	(7.65460720871244e+001dB,8.54268931200408e+001°)	(-1.23979150163536e+002dB,1.15456750715266e+001°)	(1.14837704974829e+001dB,1.02796551618326e+002°)
2.04173794466952e+005	(-2.39185637466975e+001dB,1.19078251122700e+001°)	(7.67723885773661e+001dB,8.55365171845532e+001°)	(-1.23918564205285e+002dB,1.19078254511313e+001°)	(1.17463503671419e+001dB,1.03180957839386e+002°)
2.08929613085403e+005	(-2.38555277190722e+001dB,1.22670877502818e+001°)	(7.70003459826723e+001dB,8.56438172668505e+001°)	(-1.23855527166278e+002dB,1.22670894531243e+001°)	(1.20114262282612e+001dB,1.03562717961922e+002°)
2.13796208950222e+005	(-2.37899756169716e+001dB,1.26233294404506e+001°)	(7.72300286184263e+001dB,8.57488350622650e+001°)	(-1.23789974139525e+002dB,1.26233294395227e+001°)	(1.22790650821376e+001dB,1.03941701204233e+002°)
2.18776162394954e+005	(-2.37218365664423e+001dB,1.29764236304145e+001°)	(7.74615272344510e+001dB,8.58516114876944e+001°)	(-1.23721833525741e+002dB,1.29764187029692e+001°)	(1.25493379665366e+001dB,1.04317784559642e+002°)
2.23872113856833e+005	(-2.36510350686923e+001dB,1.33262524966742e+001°)	(7.76949395574521e+001dB,8.59521866964654e+001°)	(-1.23651034874313e+002dB,1.33262510169282e+001°)	(1.28223205735027e+001dB,1.04690854326314e+002°)
2.29086765276776e+005	(-2.35774903067402e+001dB,1.36727084428165e+001°)	(7.79303708955849e+001dB,8.60506000966374e+001°)	(-1.23577490255844e+002dB,1.36727096330466e+001°)	(1.30980939530888e+001dB,1.05060807610969e+002°)
2.34422881531991e+005	(-2.35011153583455e+001dB,1.40156955602759e+001°)	(7.81679348135333e+001dB,8.61468903721922e+001°)	(-1.23501115507512e+002dB,1.40156971552596e+001°)	(1.33767453111726e+001dB,1.05427553788818e+002°)
2.39883291901948e+005	(-2.34218163060058e+001dB,1.43551310331885e+001°)	(7.84077538878387e+001dB,8.62410955064664e+001°)	(-1.23421815420910e+002dB,1.43551322663861e+001°)	(1.36583689104162e+001dB,1.05791015900042e+002°)
2.45470891568502e+005	(-2.33394912335752e+001dB,1.46909464692333e+001°)	(7.86499605538061e+001dB,8.63332528070903e+001°)	(-1.23339490817215e+002dB,1.46909423793070e+001°)	(1.39430670847339e+001dB,1.06151131965192e+002°)
2.51188643150957e+005	(-2.32540290975061e+001dB,1.50230891390301e+001°)	(7.88946980572075e+001dB,8.64233989315816e+001°)	(-1.23254027852096e+002dB,1.50230860381055e+001°)	(1.42309513791288e+001dB,1.06507856201639e+002°)
2.57039578276885e+005	(-2.31653084587708e+001dB,1.53515231074871e+001°)	(7.91421215262778e+001dB,8.65115699126162e+001°)	(-1.23165310502975e+002dB,1.53515248014252e+001°)	(1.45221438287159e+001dB,1.06861160124414e+002°)
2.63026799189537e+005	(-2.30731960591030e+001dB,1.56762302419098e+001°)	(7.93923991822139e+001dB,8.65978011818528e+001°)	(-1.23073197504412e+002dB,1.56762332495725e+001°)	(1.48167783931954e+001dB,1.07211033516597e+002°)
2.69153480392690e+005	(-2.29775452221795e+001dB,1.59972110830340e+001°)	(7.96457137096729e+001dB,8.66821275910067e+001°)	(-1.22977542574954e+002dB,1.59972081429244e+001°)	(1.51150025660150e+001dB,1.07557485255283e+002°)
2.75422870333815e+005	(-2.28781940566173e+001dB,1.63144855668625e+001°)	(7.99022638127417e+001dB,8.67645834286532e+001°)	(-1.22878194664787e+002dB,1.63144848902616e+001°)	(1.54169791812497e+001dB,1.07900543981453e+002°)
2.81838293126444e+005	(-2.27749634330125e+001dB,1.66280935870668e+001°)	(8.01622659866772e+001dB,8.68452024309781e+001°)	(-1.22774961171859e+002dB,1.66280936286713e+001°)	(1.57228884458810e+001dB,1.08240258603975e+002°)
2.88403150312659e+005	(-2.26676547014685e+001dB,1.69380953895581e+001°)	(8.04259565416285e+001dB,8.69240177843569e+001°)	(-1.22667655770986e+002dB,1.69380977507971e+001°)	(1.60329302309156e+001dB,1.08576698629503e+002°)
2.95120922666637e+005	(-2.25560471088998e+001dB,1.72445717927856e+001°)	(8.06935939217994e+001dB,8.70010621172266e+001°)	(-1.22556047596061e+002dB,1.72445698556732e+001°)	(1.63473266619816e+001dB,1.08909954312342e+002°)
3.01995172040200e+005	(-2.24398948664714e+001dB,1.75476242290945e+001°)	(8.09654613724598e+001dB,8.70763674781656e+001°)	(-1.22439893906670e+002dB,1.75476221358767e+001°)	(1.66663250589839e+001dB,1.09240136620388e+002°)
3.09029543251358e+005	(-2.23189238064094e+001dB,1.78473746040840e+001°)	(8.12418700183209e+001dB,8.71499652963965e+001°)	(-1.22318923599154e+002dB,1.78473740968024e+001°)	(1.69902012855109e+001dB,1.09567377014404e+002°)
3.16227766016836e+005	(-2.21928275534839e+001dB,1.81439649723523e+001°)	(8.15231624306513e+001dB,8.72218863200028e+001°)	(-1.22192825860721e+002dB,1.81439611629700e+001°)	(1.73192635826439e+001dB,1.09891827039550e+002°)
3.23593656929627e+005	(-2.20612631189484e+001dB,1.84375570286859e+001°)	(8.18097167779091e+001dB,8.72921605259299e+001°)	(-1.22061263329563e+002dB,1.84375551356611e+001°)	(1.76538569793482e+001dB,1.10213657728901e+002°)
3.31131121482589e+005	(-2.19238458025660e+001dB,1.87283314143689e+001°)	(8.21019516766602e+001dB,8.73608169942234e+001°)	(-1.21923846745390e+002dB,1.87283379362698e+001°)	(1.79943683938128e+001dB,1.10533058819436e+002°)
3.38844156139201e+005	(-2.17801432601817e+001dB,1.90164868376101e+001°)	(8.24003318875315e+001dB,8.74278837367859e+001°)	(-1.21780143093117e+002dB,1.90164830302324e+001°)	(1.83412325682174e+001dB,1.10850237779418e+002°)
3.46736850452530e+005	(-2.16296685582244e+001dB,1.93022390058541e+001°)	(8.27053750367934e+001dB,8.74933874680147e+001°)	(-1.21629668698783e+002dB,1.93022403629726e+001°)	(1.86949390155869e+001dB,1.11165418646196e+002°)
3.54813389233574e+005	(-2.14718719899762e+001dB,1.95858193649144e+001°)	(8.30176595904659e+001dB,8.75573533007080e+001°)	(-1.21471873068205e+002dB,1.95858199914508e+001°)	(1.90560402038522e+001dB,1.11478840669198e+002°)
3.63078054770099e+005	(-2.13061313679176e+001dB,1.98674736354980e+001°)	(8.33378343681087e+001dB,8.76198043452041e+001°)	(-1.21306132967241e+002dB,1.98674787993557e+001°)	(1.94251612628575e+001dB,1.11790756749826e+002°)
3.71535229097171e+005	(-2.11317404270222e+001dB,2.01474601308466e+001°)	(8.36666299626082e+001dB,8.76807611822227e+001°)	(-1.21131739838150e+002dB,2.01474571428863e+001°)	(1.98030115794079e+001dB,1.12101431661652e+002°)
3.80189396320559e+005	(-2.09478948686751e+001dB,2.04260478292919e+001°)	(8.40048725372046e+001dB,8.77402411694526e+001°)	(-1.20947892990695e+002dB,2.04260403277569e+001°)	(2.01903987507376e+001dB,1.12411140025790e+002°)
3.89045144994279e+005	(-2.07536754341023e+001dB,2.07035141610156e+001°)	(8.43535006115050e+001dB,8.77982575272664e+001°)	(-1.20753675616827e+002dB,2.07035161539464e+001°)	(2.05882455075066e+001dB,1.12720164000653e+002°)
3.98107170553495e+005	(-2.05480272057400e+001dB,2.09801424473516e+001°)	(8.47135856384275e+001dB,8.78548181281025e+001°)	(-1.20548026525023e+002dB,2.09801421296889e+001°)	(2.09976104079162e+001dB,1.13028790624858e+002°)
4.07380277804111e+005	(-2.03297340742377e+001dB,2.12562189007875e+001°)	(8.50863574344965e+001dB,8.79099238840615e+001°)	(-1.20329737407677e+002dB,2.12562181798702e+001°)	(2.14197133652686e+001dB,1.13337308721643e+002°)
4.16869383470333e+005	(-2.00973869472653e+001dB,2.15320290494884e+001°)	(8.54732358872011e+001dB,8.79635665835455e+001°)	(-1.20097387019616e+002dB,2.15320190115053e+001°)	(2.18559674328267e+001dB,1.13646005229104e+002°)
4.26579518801590e+005	(-1.98493437680163e+001dB,2.18078533848894e+001°)	(8.58758708711912e+001dB,8.80157259630801e+001°)	(-1.19849344344609e+002dB,2.18078550448055e+001°)	(2.23080187780674e+001dB,1.13955160754556e+002°)
4.36515832240164e+005	(-1.95836786858424e+001dB,2.20839619328120e+001°)	(8.62961930303514e+001dB,8.80663657032129e+001°)	(-1.19583678737732e+002dB,2.20839624852568e+001°)	(2.27777975039410e+001dB,1.14265044054232e+002°)
4.46683592150961e+005	(-1.92981166687590e+001dB,2.23606072987908e+001°)	(8.67364791353220e+001dB,8.81154278885498e+001°)	(-1.19298117871641e+002dB,2.23606117685546e+001°)	(2.32675830273609e+001dB,1.14575904988609e+002°)
4.57088189614873e+005	(-1.89899482920636e+001dB,2.26380155049951e+001°)	(8.71994372813973e+001dB,8.81628252396894e+001°)	(-1.18989948589542e+002dB,2.26380139708359e+001°)	(2.37800892807277e+001dB,1.14887965271488e+002°)
4.67735141287196e+005	(-1.86559170922469e+001dB,2.29163735643521e+001°)	(8.76883195366786e+001dB,8.82084300541536e+001°)	(-1.18655917082754e+002dB,2.29163725387436e+001°)	(2.43185773472666e+001dB,1.15201405958146e+002°)
4.78630092322636e+005	(-1.82920682602565e+001dB,2.31958121303273e+001°)	(8.82070732653930e+001dB,8.82520581873110e+001°)	(-1.18292069380132e+002dB,2.31958193689882e+001°)	(2.48870067561391e+001dB,1.15516350011484e+002°)
4.89778819368444e+005	(-1.78935417343346e+001dB,2.34763805407041e+001°)	(8.87605480650720e+001dB,8.82934453853803e+001°)	(-1.17893541182736e+002dB,2.34763848819008e+001°)	(2.54902423770936e+001dB,1.15832837264751e+002°)
5.01187233627270e+005	(-1.74542834641548e+001dB,2.37580098054387e+001°)	(8.93547845447332e+001dB,8.83322115153128e+001°)	(-1.17454284217720e+002dB,2.37580098870017e+001°)	(2.61343431429046e+001dB,1.16150787330902e+002°)
5.12861383991362e+005	(-1.69666330284035e+001dB,2.40404559105849e+001°)	(8.99974267607880e+001dB,8.83678050594843e+001°)	(-1.16966633616535e+002dB,2.40404564957946e+001°)	(2.68269744174574e+001dB,1.16469942831142e+002°)
5.24807460249770e+005	(-1.64207186466460e+001dB,2.43232098589499e+001°)	(9.06983272686940e+001dB,8.83994142926493e+001°)	(-1.16420719769308e+002dB,2.43232127153821e+001°)	(2.75780129686163e+001dB,1.16789779363508e+002°)
5.37031796370250e+005	(-1.58035413244145e+001dB,2.46053491747565e+001°)	(9.14704630503122e+001dB,8.84258198663126e+001°)	(-1.15803542573320e+002dB,2.46053534184162e+001°)	(2.84004628069161e+001dB,1.17109356939051e+002°)
5.49540873857621e+005	(-1.50975357374632e+001dB,2.48852812903282e+001°)	(9.23313747099500e+001dB,8.84451392171743e+001°)	(-1.15097536937902e+002dB,2.48852859366073e+001°)	(2.93118942841297e+001dB,1.17427063304216e+002°)
5.62341325190346e+005	(-1.42782047276639e+001dB,2.51602751606834e+001°)	(9.33055320656015e+001dB,8.84543591450102e+001°)	(-1.14278205753986e+002dB,2.51602766901255e+001°)	(3.03368095792081e+001dB,1.17740145495541e+002°)
5.75439937337154e+005	(-1.33100088752345e+001dB,2.54255468312441e+001°)	(9.44284446697398e+001dB,8.84484222853441e+001°)	(-1.13310007660048e+002dB,2.54255385335806e+001°)	(3.15107531068973e+001dB,1.18043795352511e+002°)
5.88843655355586e+005	(-1.21387027406369e+001dB,2.56723147991015e+001°)	(9.57543256654429e+001dB,8.84182833180969e+001°)	(-1.12138701643570e+002dB,2.56723077124826e+001°)	(3.28879752556992e+001dB,1.18329204829657e+002°)
6.02559586074354e+005	(-1.06756613143721e+001dB,2.58831695457375e+001°)	(9.73717654388235e+001dB,8.83462792913645e+001°)	(-1.10675660037097e+002dB,2.58831641428797e+001°)	(3.45571059169135e+001dB,1.18578935486048e+002°)
6.16595001861479e+005	(-8.76146176345694e+000dB,2.60191647988816e+001°)	(9.94401499782563e+001dB,8.81932216196198e+001°)	(-1.08761463042750e+002dB,2.60191676717261e+001°)	(3.66775727160318e+001dB,1.18754009711048e+002°)
6.30957344480189e+005	(-6.06356389571673e+000dB,2.59741281289461e+001°)	(1.02291980518633e+002dB,8.78527073637951e+001°)	(-1.06063563884842e+002dB,2.59741318901928e+001°)	(3.95819205253154e+001dB,1.18748221291991e+002°)
6.45654229034652e+005	(-1.67894174462666e+000dB,2.53283011381551e+001°)	(1.06830242067361e+002dB,8.69047600534667e+001°)	(-1.01678939166516e+002dB,2.53282942295899e+001°)	(4.41731798548776e+001dB,1.18141775582890e+002°)
6.60693448007592e+005	(9.27658604949604e+000dB,1.91045561452630e+001°)	(1.17939073135825e+002dB,8.03720469564156e+001°)	(-9.07234137719214e+001dB,1.91045570561251e+001°)	(5.53355364464992e+001dB,1.11957506177893e+002°)
6.76082975391978e+005	(4.08395322620239e+000dB,-1.46193859218212e+002°)	(1.12899362840190e+002dB,-8.52423757861820e+001°)	(-9.59160485224126e+001dB,-1.46193857635984e+002°)	(5.03499282344797e+001dB,-5.33013804938506e+001°)
6.91830970918932e+005	(-4.56273556804578e+000dB,-1.48953762074819e+002°)	(1.04405169543646e+002dB,-8.83255027311266e+001°)	(-1.04562735561136e+002dB,-1.48953765511393e+002°)	(4.19104638460019e+001dB,-5.60217452257542e+001°)
7.07945784384134e+005	(-9.20594090422562e+000dB,-1.49275318528468e+002°)	(9.99139848481315e+001dB,-8.89776629062610e+001°)	(-1.09205940527780e+002dB,-1.49275312810283e+002°)	(3.74746864493997e+001dB,-5.63038002399898e+001°)
7.24435960074986e+005	(-1.25426260077569e+001dB,-1.49149102168206e+002°)	(9.67287962740946e+001dB,-8.91895778990879e+001°)	(-1.12542625105019e+002dB,-1.49149109676659e+002°)	(3.43456362891302e+001dB,-5.61381676578247e+001°)
7.41310241300913e+005	(-1.52451897153728e+001dB,-1.48845173116014e+002°)	(9.41771544209483e+001dB,-8.92314405265251e+001°)	(-1.15245189095678e+002dB,-1.48845173163809e+002°)	(3.18509177003647e+001dB,-5.57949585006371e+001°)
7.58577575029179e+005	(-1.75921288880400e+001dB,-1.48437025289751e+002°)	(9.19805106719712e+001dB,-8.91768617551644e+001°)	(-1.17592128855515e+002dB,-1.48437016596925e+002°)	(2.97120366671540e+001dB,-5.53477198918639e+001°)
7.76247116628687e+005	(-1.97316917508197e+001dB,-1.47947499426179e+002°)	(8.99905639727208e+001dB,-8.90487834154987e+001°)	(-1.19731692802828e+002dB,-1.47947490386190e+002°)	(2.77807474534195e+001dB,-5.48193480041207e+001°)
7.94328234724276e+005	(-2.17586892472157e+001dB,-1.47378751376007e+002°)	(8.81124495954186e+001dB,-8.88494462208562e+001°)	(-1.21758690030928e+002dB,-1.47378754791171e+002°)	(2.59622412193973e+001dB,-5.42120562626897e+001°)
8.12830516164094e+005	(-2.37451456611968e+001dB,-1.46719162284211e+002°)	(8.62740886361415e+001dB,-8.85672997033854e+001°)	(-1.23745144867369e+002dB,-1.46719164300354e+002°)	(2.41844953705453e+001dB,-5.35142854179004e+001°)
8.31763771102666e+005	(-2.57566414542346e+001dB,-1.45941813912651e+002°)	(8.44098452975195e+001dB,-8.81754773235366e+001°)	(-1.25756640763272e+002dB,-1.45941818201595e+002°)	(2.23819306917681e+001dB,-5.26991787430062e+001°)
8.51138038202371e+005	(-2.78651928523031e+001dB,-1.44995417206284e+002°)	(8.24476474220419e+001dB,-8.76227248540675e+001°)	(-1.27865193955673e+002dB,-1.44995415558240e+002°)	(2.04825317322516e+001dB,-5.17155104583093e+001°)
8.70963589956075e+005	(-3.01654884088222e+001dB,-1.43780613151714e+002°)	(8.02927500500393e+001dB,-8.68097010873471e+001°)	(-1.30165488300216e+002dB,-1.43780618759327e+002°)	(1.83916102151691e+001dB,-5.04639864299503e+001°)
8.91250938133740e+005	(-3.28049587095392e+001dB,-1.42085553331379e+002°)	(7.77976658363851e+001dB,-8.55245582696119e+001°)	(-1.32804958583932e+002dB,-1.42085551925441e+002°)	(1.59617353065121e+001dB,-4.87328245466435e+001°)
9.12010839355904e+005	(-3.60571023868763e+001dB,-1.39374639182394e+002°)	(7.46888391584149e+001dB,-8.32316812718017e+001°)	(-1.36057102113606e+002dB,-1.39374639771628e+002°)	(1.29194075758048e+001dB,-4.59864937832091e+001°)
9.33254300796985e+005	(-4.05554301328825e+001dB,-1.33820978453283e+002°)	(7.03327022259248e+001dB,-7.81041439911173e+001°)	(-1.40555430501172e+002dB,-1.33820979923187e+002°)	(8.63111495983854e+000dB,-4.03981704444527e+001°)
9.54992586021430e+005	(-4.82794565211698e+001dB,-1.13661728667211e+002°)	(6.27496833828427e+001dB,-5.83790527930210e+001°)	(-1.48279456616042e+002dB,-1.13661725844455e+002°)	(1.11734091933054e+000dB,-2.02050813984149e+001°)
9.77237220955804e+005	(-5.03165205144563e+001dB,-8.87417151292325e+000°)	(6.08523867238847e+001dB,4.59663790837850e+001°)	(-1.50316520831085e+002dB,-8.87417336358951e+000°)	(-7.09256087801646e-001dB,8.46154217793031e+001°)
9.99999999999993e+005	(-4.22821417058141e+001dB,1.87514241845184e+001°)	(6.90252359779972e+001dB,7.31419685058389e+001°)	(-1.42282141603908e+002dB,1.87514210676702e+001°)	(7.53580113561648e+000dB,1.12273000097021e+002°)
1.02329299228075e+006	(-3.80351922066356e+001dB,2.52409061790042e+001°)	(7.34093027454214e+001dB,7.91736660710342e+001°)	(-1.38035192878736e+002dB,2.52409099746238e+001°)	(1.19936366241622e+001dB,1.18793431139159e+002°)
1.04712854805089e+006	(-3.52246244971492e+001dB,2.82449660632113e+001°)	(7.63555787723531e+001dB,8.17122832392788e+001°)	(-1.35224623038499e+002dB,2.82449611709052e+001°)	(1.50152933884757e+001dB,1.21827336616201e+002°)
1.07151930523760e+006	(-3.31122527460874e+001dB,3.00875394445356e+001°)	(7.86021947563483e+001dB,8.30818923375083e+001°)	(-1.33112253481503e+002dB,3.00875419424514e+001°)	(1.73389520881167e+001dB,1.23698582842517e+002°)
1.09647819614318e+006	(-3.13982021652450e+001dB,3.14040663318843e+001°)	(8.04489711164374e+001dB,8.39180867321486e+001°)	(-1.31398201699033e+002dB,3.14040689815008e+001°)	(1.92644816731164e+001dB,1.25042541434909e+002°)
1.12201845430196e+006	(-2.99315004951480e+001dB,3.24366230647026e+001°)	(8.20468266313755e+001dB,8.44631124988061e+001°)	(-1.29931501221585e+002dB,3.24366226051890e+001°)	(2.09428478982374e+001dB,1.26101221561275e+002°)
1.14815362149688e+006	(-2.86245746634874e+001dB,3.32962371167888e+001°)	(8.34832819039699e+001dB,8.48281829202714e+001°)	(-1.28624573683257e+002dB,3.32962366852952e+001°)	(2.24616166684815e+001dB,1.26985585069682e+002°)
1.17489755493952e+006	(-2.74209113155748e+001dB,3.40398069710237e+001°)	(8.48147989517752e+001dB,8.50703980076774e+001°)	(-1.27420911880079e+002dB,3.40398046745062e+001°)	(2.38772935167494e+001dB,1.27752466691474e+002°)
1.20226443461740e+006	(-2.62805346763466e+001dB,3.46981692346340e+001°)	(8.60813034641252e+001dB,8.52208112133960e+001°)	(-1.26280533265247e+002dB,3.46981673548458e+001°)	(2.52298457542512e+001dB,1.28432641485457e+002°)
1.23026877081237e+006	(-2.51725420608984e+001dB,3.52878412455058e+001°)	(8.73136494079766e+001dB,8.52961715854227e+001°)	(-1.25172543662032e+002dB,3.52878394341389e+001°)	(2.65501669767710e+001dB,1.29042567770877e+002°)
1.25892541179416e+006	(-2.40707327283280e+001dB,3.58162574007980e+001°)	(8.85379902871984e+001dB,8.53041595940717e+001°)	(-1.24070733423045e+002dB,3.58162477196846e+001°)	(2.78644482320395e+001dB,1.29589623777568e+002°)
1.28824955169313e+006	(-2.29506114636430e+001dB,3.62839175070006e+001°)	(8.97787756699365e+001dB,8.52455349300694e+001°)	(-1.22950613302961e+002dB,3.62839168159053e+001°)	(2.91971744634443e+001dB,1.30074256309413e+002°)
1.31825673855640e+006	(-2.17868591211637e+001dB,3.66846387734243e+001°)	(9.10612807499779e+001dB,8.51143878963885e+001°)	(-1.21786859863826e+002dB,3.66846319145636e+001°)	(3.05736539965869e+001dB,1.30490233040157e+002°)
1.34896288259164e+006	(-2.05506067057149e+001dB,3.70040513829501e+001°)	(9.24143323651586e+001dB,8.48966343284435e+001°)	(-1.20550607921799e+002dB,3.70040463490339e+001°)	(3.20227444922704e+001dB,1.30823138372362e+002°)
1.38038426460288e+006	(-1.92057504818761e+001dB,3.72155562631559e+001°)	(9.38739939818741e+001dB,8.45659726670247e+001°)	(-1.19205749986243e+002dB,3.72155561752561e+001°)	(3.35805378754750e+001dB,1.31046331479706e+002°)
1.41253754462274e+006	(-1.77030157809899e+001dB,3.72713234496117e+001°)	(9.54895019753191e+001dB,8.40748815774984e+001°)	(-1.17703015887108e+002dB,3.72713175082441e+001°)	(3.52962965703994e+001dB,1.31111944921570e+002°)
1.44543977074592e+006	(-1.59689938037378e+001dB,3.70816004650843e+001°)	(9.73342289069832e+001dB,8.33339275412446e+001°)	(-1.15968993787030e+002dB,3.70816039138045e+001°)	(3.72434167434859e+001dB,1.30930193250993e+002°)
1.47910838816820e+006	(-1.38831124708487e+001dB,3.64615269069337e+001°)	(9.95287127461889e+001dB,8.21585786143326e+001°)	(-1.13883111747630e+002dB,3.64615238160176e+001°)	(3.95424575015239e+001dB,1.30316187805721e+002°)
1.51356124843620e+006	(-1.12213457421538e+001dB,3.49671218171305e+001°)	(1.02296947614837e+002dB,8.01051909310556e+001°)	(-1.11221344894970e+002dB,3.49671157881958e+001°)	(4.24174316242611e+001dB,1.28825924254584e+002°)
1.54881661891247e+006	(-7.48688598109390e+000dB,3.12167838366486e+001°)	(1.06135711477672e+002dB,7.57925079577467e+001°)	(-1.07486886102065e+002dB,3.12167892716335e+001°)	(4.63651332539952e+001dB,1.25077782898938e+002°)
1.58489319246110e+006	(-1.24339573975923e+000dB,1.80407226863144e+001°)	(1.12481314402452e+002dB,6.20510910430365e+001°)	(-1.01243395626102e+002dB,1.80407196713517e+001°)	(5.28218861666202e+001dB,1.11901960269596e+002°)
1.62181009735892e+006	(4.99616121006735e+000dB,-6.98805849086539e+001°)	(1.18820767564059e+002dB,-2.64382256136979e+001°)	(-9.50038377058312e+001dB,-6.98805837281282e+001°)	(5.92747127981756e+001dB,2.39789251351590e+001°)
1.65958690743755e+006	(-4.04031379108428e+000dB,-1.15729280792509e+002°)	(1.09881949601193e+002dB,-7.28572215129590e+001°)	(-1.04040313166912e+002dB,-1.15729283715387e+002°)	(5.04515006354540e+001dB,-2.18734670213254e+001°)
1.69824365246173e+006	(-9.05167265729714e+000dB,-1.23433109620316e+002°)	(1.04965988263309e+002dB,-8.11332750887210e+001°)	(-1.09051674403281e+002dB,-1.23433102014899e+002°)	(4.56533839081699e+001dB,-2.95829582269487e+001°)
1.73780082874936e+006	(-1.22936301603318e+001dB,-1.26063519111156e+002°)	(1.01817150810317e+002dB,-8.43374649639797e+001°)	(-1.12293629840651e+002dB,-1.26063513657203e+002°)	(4.26246340449569e+001dB,-3.22209882894164e+001°)
1.77827941003891e+006	(-1.47013622969647e+001dB,-1.27174532634226e+002°)	(9.95002456367046e+001dB,-8.60234435436931e+001°)	(-1.14701361461887e+002dB,-1.27174527810804e+002°)	(4.04300613645391e+001dB,-3.33415674341617e+001°)
